"Date","Open","High","Low","Close"
"10 Dec 2020","-","-","-","12536.41"
"09 Dec 2020","-","-","-","12595.35"
"08 Dec 2020","-","-","-","12567.45"
"07 Dec 2020","-","-","-","12574.38"
"04 Dec 2020","-","-","-","12493.30"
"03 Dec 2020","-","-","-","12432.94"
"02 Dec 2020","-","-","-","12431.40"
"01 Dec 2020","-","-","-","12390.29"
"27 Nov 2020","-","-","-","12359.92"
"26 Nov 2020","-","-","-","12126.46"
"25 Nov 2020","-","-","-","12031.03"
"24 Nov 2020","-","-","-","12234.31"
"23 Nov 2020","-","-","-","12122.32"
"20 Nov 2020","-","-","-","12047.62"
"19 Nov 2020","-","-","-","11922.67"
"18 Nov 2020","-","-","-","11928.10"
"17 Nov 2020","-","-","-","11808.99"
"14 Nov 2020","-","-","-","11650.18"
"13 Nov 2020","-","-","-","11583.76"
"12 Nov 2020","-","-","-","11492.28"
"11 Nov 2020","-","-","-","11394.89"
"10 Nov 2020","-","-","-","11381.95"
"09 Nov 2020","-","-","-","11479.23"
"06 Nov 2020","-","-","-","11354.32"
"05 Nov 2020","-","-","-","11305.10"
"04 Nov 2020","-","-","-","11117.99"
"03 Nov 2020","-","-","-","11043.49"
"02 Nov 2020","-","-","-","10986.66"
"30 Oct 2020","-","-","-","11007.83"
"29 Oct 2020","-","-","-","10977.96"
"28 Oct 2020","-","-","-","11006.00"
"27 Oct 2020","-","-","-","11055.60"
"26 Oct 2020","-","-","-","10972.32"
"23 Oct 2020","-","-","-","11122.95"
"22 Oct 2020","-","-","-","11104.02"
"21 Oct 2020","-","-","-","11037.60"
"20 Oct 2020","-","-","-","11049.17"
"19 Oct 2020","-","-","-","11016.44"
"16 Oct 2020","-","-","-","10978.17"
"15 Oct 2020","-","-","-","10888.47"
"14 Oct 2020","-","-","-","11050.79"
"13 Oct 2020","-","-","-","11076.23"
"12 Oct 2020","-","-","-","11120.25"
"09 Oct 2020","-","-","-","11156.87"
"08 Oct 2020","-","-","-","11169.64"
"07 Oct 2020","-","-","-","11187.09"
"06 Oct 2020","-","-","-","11246.79"
"05 Oct 2020","-","-","-","11226.63"
"01 Oct 2020","-","-","-","11248.51"
"30 Sep 2020","-","-","-","11237.61"
"29 Sep 2020","-","-","-","11209.59"
"28 Sep 2020","-","-","-","11179.58"
"25 Sep 2020","-","-","-","10923.64"
"24 Sep 2020","-","-","-","10732.19"
"23 Sep 2020","-","-","-","10971.07"
"22 Sep 2020","-","-","-","10971.40"
"21 Sep 2020","-","-","-","11101.31"
"18 Sep 2020","-","-","-","11428.75"
"17 Sep 2020","-","-","-","11431.00"
"16 Sep 2020","-","-","-","11456.89"
"15 Sep 2020","-","-","-","11460.52"
"14 Sep 2020","-","-","-","11325.56"
"11 Sep 2020","-","-","-","10987.44"
"10 Sep 2020","-","-","-","10929.32"
"09 Sep 2020","-","-","-","10822.80"
"08 Sep 2020","-","-","-","10929.56"
"07 Sep 2020","-","-","-","10992.00"
"04 Sep 2020","-","-","-","11029.77"
"03 Sep 2020","-","-","-","11173.25"
"02 Sep 2020","-","-","-","11108.88"
"01 Sep 2020","-","-","-","10935.79"
"31 Aug 2020","-","-","-","10882.46"
"28 Aug 2020","-","-","-","11326.89"
"27 Aug 2020","-","-","-","11331.30"
"26 Aug 2020","-","-","-","11299.48"
"25 Aug 2020","-","-","-","11230.97"
"24 Aug 2020","-","-","-","11255.83"
"21 Aug 2020","-","-","-","11139.49"
"20 Aug 2020","-","-","-","10986.11"
"19 Aug 2020","-","-","-","10897.94"
"18 Aug 2020","-","-","-","10829.76"
"17 Aug 2020","-","-","-","10703.44"
"14 Aug 2020","-","-","-","10643.76"
"13 Aug 2020","-","-","-","10705.16"
"12 Aug 2020","-","-","-","10634.39"
"11 Aug 2020","-","-","-","10672.85"
"10 Aug 2020","-","-","-","10648.86"
"07 Aug 2020","-","-","-","10505.82"
"06 Aug 2020","-","-","-","10431.12"
"05 Aug 2020","-","-","-","10330.88"
"04 Aug 2020","-","-","-","10255.89"
"03 Aug 2020","-","-","-","10207.92"
"31 Jul 2020","-","-","-","10183.58"
"30 Jul 2020","-","-","-","10167.70"
"29 Jul 2020","-","-","-","10202.59"
"28 Jul 2020","-","-","-","10175.32"
"27 Jul 2020","-","-","-","10159.14"
"24 Jul 2020","-","-","-","10226.19"
"23 Jul 2020","-","-","-","10237.97"
"22 Jul 2020","-","-","-","10158.05"
"21 Jul 2020","-","-","-","10185.05"
"20 Jul 2020","-","-","-","10185.56"
"17 Jul 2020","-","-","-","10135.73"
"16 Jul 2020","-","-","-","10052.90"
"15 Jul 2020","-","-","-","9998.78"
"14 Jul 2020","-","-","-","9987.92"
"13 Jul 2020","-","-","-","10054.78"
"10 Jul 2020","-","-","-","10062.43"
"09 Jul 2020","-","-","-","10094.62"
"08 Jul 2020","-","-","-","10074.27"
"07 Jul 2020","-","-","-","10129.26"
"06 Jul 2020","-","-","-","10092.84"
"03 Jul 2020","-","-","-","9957.27"
"02 Jul 2020","-","-","-","9893.20"
"01 Jul 2020","-","-","-","9797.91"
"30 Jun 2020","-","-","-","9775.13"
"29 Jun 2020","-","-","-","9781.68"
"26 Jun 2020","-","-","-","9922.79"
"25 Jun 2020","-","-","-","9870.99"
"24 Jun 2020","-","-","-","9772.90"
"23 Jun 2020","-","-","-","9849.57"
"22 Jun 2020","-","-","-","9744.82"
"19 Jun 2020","-","-","-","9653.85"
"18 Jun 2020","-","-","-","9608.13"
"17 Jun 2020","-","-","-","9473.81"
"16 Jun 2020","-","-","-","9444.77"
"15 Jun 2020","-","-","-","9391.52"
"12 Jun 2020","-","-","-","9505.94"
"11 Jun 2020","-","-","-","9486.54"
"10 Jun 2020","-","-","-","9621.13"
"09 Jun 2020","-","-","-","9520.58"
"08 Jun 2020","-","-","-","9610.60"
"05 Jun 2020","-","-","-","9625.48"
"04 Jun 2020","-","-","-","9504.22"
"03 Jun 2020","-","-","-","9528.07"
"02 Jun 2020","-","-","-","9498.22"
"01 Jun 2020","-","-","-","9410.06"
"29 May 2020","-","-","-","9190.49"
"28 May 2020","-","-","-","9098.42"
"27 May 2020","-","-","-","8986.37"
"26 May 2020","-","-","-","8992.68"
"22 May 2020","-","-","-","8904.41"
"21 May 2020","-","-","-","8904.28"
"20 May 2020","-","-","-","8820.18"
"19 May 2020","-","-","-","8723.30"
"18 May 2020","-","-","-","8713.11"
"15 May 2020","-","-","-","9038.57"
"14 May 2020","-","-","-","9059.21"
"13 May 2020","-","-","-","9106.75"
"12 May 2020","-","-","-","8983.95"
"11 May 2020","-","-","-","9023.05"
"08 May 2020","-","-","-","8983.04"
"07 May 2020","-","-","-","8999.20"
"06 May 2020","-","-","-","9023.67"
"05 May 2020","-","-","-","8967.98"
"04 May 2020","-","-","-","9022.76"
"30 Apr 2020","-","-","-","9346.76"
"29 Apr 2020","-","-","-","9242.05"
"28 Apr 2020","-","-","-","9079.19"
"27 Apr 2020","-","-","-","9026.39"
"24 Apr 2020","-","-","-","8865.96"
"23 Apr 2020","-","-","-","8978.59"
"22 Apr 2020","-","-","-","8844.98"
"21 Apr 2020","-","-","-","8747.74"
"20 Apr 2020","-","-","-","8981.48"
"17 Apr 2020","-","-","-","8930.36"
"16 Apr 2020","-","-","-","8792.72"
"15 Apr 2020","-","-","-","8651.71"
"13 Apr 2020","-","-","-","8568.14"
"09 Apr 2020","-","-","-","8628.07"
"08 Apr 2020","-","-","-","8338.73"
"07 Apr 2020","-","-","-","8215.61"
"03 Apr 2020","-","-","-","7827.32"
"01 Apr 2020","-","-","-","7934.58"
"31 Mar 2020","-","-","-","8052.19"
"30 Mar 2020","-","-","-","7829.56"
"27 Mar 2020","-","-","-","7908.99"
"26 Mar 2020","-","-","-","7921.81"
"25 Mar 2020","-","-","-","7633.89"
"24 Mar 2020","-","-","-","7313.48"
"23 Mar 2020","-","-","-","7181.49"
"20 Mar 2020","-","-","-","8278.68"
"19 Mar 2020","-","-","-","7900.75"
"18 Mar 2020","-","-","-","8257.80"
"17 Mar 2020","-","-","-","8662.80"
"16 Mar 2020","-","-","-","8821.38"
"13 Mar 2020","-","-","-","9338.76"
"12 Mar 2020","-","-","-","9128.30"
"11 Mar 2020","-","-","-","9808.29"
"09 Mar 2020","-","-","-","9857.61"
"06 Mar 2020","-","-","-","10198.20"
"05 Mar 2020","-","-","-","10298.82"
"04 Mar 2020","-","-","-","10299.92"
"03 Mar 2020","-","-","-","10447.36"
"02 Mar 2020","-","-","-","10294.29"
"28 Feb 2020","-","-","-","10332.69"
"27 Feb 2020","-","-","-","10584.71"
"26 Feb 2020","-","-","-","10674.32"
"25 Feb 2020","-","-","-","10803.33"
"24 Feb 2020","-","-","-","10852.71"
"20 Feb 2020","-","-","-","11025.32"
"19 Feb 2020","-","-","-","10999.98"
"18 Feb 2020","-","-","-","10879.87"
"17 Feb 2020","-","-","-","10920.97"
"14 Feb 2020","-","-","-","10945.02"
"13 Feb 2020","-","-","-","10995.59"
"12 Feb 2020","-","-","-","11013.82"
"11 Feb 2020","-","-","-","11011.62"
"10 Feb 2020","-","-","-","11034.90"
"07 Feb 2020","-","-","-","11129.09"
"06 Feb 2020","-","-","-","11062.29"
"05 Feb 2020","-","-","-","11017.91"
"04 Feb 2020","-","-","-","10973.78"
"03 Feb 2020","-","-","-","10832.45"
"01 Feb 2020","-","-","-","10722.36"
"31 Jan 2020","-","-","-","10895.58"
"30 Jan 2020","-","-","-","10930.95"
"29 Jan 2020","-","-","-","10996.69"
"28 Jan 2020","-","-","-","10986.14"
"27 Jan 2020","-","-","-","10964.86"
"24 Jan 2020","-","-","-","10937.26"
"23 Jan 2020","-","-","-","10864.50"
"22 Jan 2020","-","-","-","10743.50"
"21 Jan 2020","-","-","-","10777.49"
"20 Jan 2020","-","-","-","10828.98"
"17 Jan 2020","-","-","-","10868.05"
"16 Jan 2020","-","-","-","10767.80"
"15 Jan 2020","-","-","-","10663.54"
"14 Jan 2020","-","-","-","10545.12"
"13 Jan 2020","-","-","-","10460.08"
"10 Jan 2020","-","-","-","10430.65"
"09 Jan 2020","-","-","-","10392.12"
"08 Jan 2020","-","-","-","10275.27"
"07 Jan 2020","-","-","-","10279.59"
"06 Jan 2020","-","-","-","10230.49"
"03 Jan 2020","-","-","-","10416.17"
"02 Jan 2020","-","-","-","10449.64"
"01 Jan 2020","-","-","-","10406.08"
"31 Dec 2019","-","-","-","10400.20"
"30 Dec 2019","-","-","-","10360.06"
"27 Dec 2019","-","-","-","10309.86"
"26 Dec 2019","-","-","-","10250.70"
"24 Dec 2019","-","-","-","10229.56"
"23 Dec 2019","-","-","-","10251.25"
"20 Dec 2019","-","-","-","10224.12"
"19 Dec 2019","-","-","-","10241.07"
"18 Dec 2019","-","-","-","10240.46"
"17 Dec 2019","-","-","-","10278.95"
"16 Dec 2019","-","-","-","10248.85"
"13 Dec 2019","-","-","-","10312.16"
"12 Dec 2019","-","-","-","10242.96"
"11 Dec 2019","-","-","-","10176.84"
"10 Dec 2019","-","-","-","10152.95"
"09 Dec 2019","-","-","-","10258.96"
